Date,trapVisitID,subSiteName,visitType,trapFunctioning,fishProcessed,sampleStart,sampleEnd,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,coneDebrisIntake1,coneDebrisIntake2,debrisVolume,debrisType,includeCatch,includeCatchComments,TrapVisit.comments
2017-02-01,8298,ST004L1B,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,,2017-02-01 15:58,,,1.2,,,,,Yes,,
2017-02-02,8299,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-02-01 15:58,2017-02-02 12:09,,1,1.4,,,5,Terrestrial,Yes,,Intake debris 1/0. Counter not recorded: clicker not installed. 
2017-02-03,8300,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-02-02 12:09,2017-02-03 09:50,,1,1.1,,,5,Terrestrial,Yes,,Intake debris 0/0. Counter not recorded: clicker not installed. 
2017-02-04,8301,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-02-03 09:50,2017-02-04 09:52,,1.1,1,,,3,Terrestrial,Yes,,Intake debris 0/0. Counter not recorded: clicker not installed. 
2017-02-01,8302,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,,2017-02-01 15:48,,,1.6,,,,,Yes,,
2017-02-02,8303,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-01 15:48,2017-02-02 12:50,,0,1,,,5,Terrestrial,Yes,Data included in analysis because cannot impute: first trap visit of season. ,Intake debris 0/1. Counter not recorded: clicker not installed. 
2017-02-03,8304,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-02-02 12:50,2017-02-03 09:58,,1.3,1.3,,,5,Terrestrial,Yes,,Intake debris 0/0. Counter not recorded: clicker not installed. 
2017-02-04,8305,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-02-03 09:58,2017-02-04 09:59,,1.3,1.3,,,3,Terrestrial,Yes,,Intake debris 0/0. Counter not recorded: clicker not installed. 
2017-02-05,8306,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-02-04 09:52,2017-02-05 09:07,,1.2,1.1,,,3,Terrestrial,Yes,,Intake debris 0/0. Counter not recorded: clicker not installed. 
2017-02-06,8307,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-05 09:07,2017-02-06 09:30,,0,1.2,,,4,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 0/2. Counter not recorded: clicker not installed. 
2017-02-07,8308,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-06 09:30,2017-02-07 09:49,,0,1.4,,,5,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 0/1. Counter not recorded: clicker not installed. 
2017-02-05,8309,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-02-04 09:59,2017-02-05 08:59,,1.3,1.3,,,2,Terrestrial,Yes,,Intake debris 0/0. Counter not recorded: clicker not installed. 
2017-02-06,8310,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-02-05 08:59,2017-02-06 09:20,,1.5,1.4,,,6,Terrestrial,Yes,,Intake debris 0/0. Counter not recorded: clicker not installed. 
2017-02-07,8311,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-02-06 09:20,2017-02-07 09:41,,1.7,1.6,,,9,Terrestrial,Yes,,Intake debris 0/0. Counter not recorded: clicker not installed. 
2017-02-08,8312,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-02-07 09:41,2017-02-08 10:25,,2.8,2.9,,,32,Terrestrial,Yes,,Intake debris 0/0. Counter not recorded: clicker not installed. 
2017-02-09,8313,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-08 10:25,2017-02-09 11:37,,0,2.7,,,35,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch. ,Intake debris 3/3. Counter not recorded: clicker not installed. Trap was stopped with heavy debris. Flows had risen from 1250 to 2200 cfs.  
2017-02-10,8314,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-09 13:24,2017-02-10 10:09,914,0,3.5,,,40,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch. ,Intake debris 2/1. 
