Date,trapVisitID,subSiteName,visitType,trapFunctioning,fishProcessed,sampleStart,sampleEnd,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,coneDebrisIntake1,coneDebrisIntake2,debrisVolume,debrisType,includeCatch,includeCatchComments,TrapVisit.comments
2019-02-16,8874,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2019-02-15 09:52,2019-02-16 10:29,590,0,1.6,0,1,15,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,
2019-02-16,8875,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019-02-15 10:04,2019-02-16 10:38,1325,0,2.4,3,1,28,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,
2019-02-17,8876,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-02-16 10:29,2019-02-17 11:10,2688,1.8,2.1,0,0,47,Terrestrial,Yes,,
2019-02-17,8877,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019-02-16 10:38,2019-02-17 10:16,651,0,3.2,1,3,17,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,Trap stopped by log.
2019-02-18,8878,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2019-02-17 11:10,2019-02-18 09:27,210,0,0.9,3,3,13,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,Trap stopped by a log in the cone.
2019-02-18,8879,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019-02-17 10:16,2019-02-18 10:11,1551,0,2.4,3,3,63,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch.,Trap stopped by a log in the intake.
2019-02-19,8880,ST004L1,Continue trapping,"Trap functioning, but not normally",Processed fish,2019-02-18 10:11,2019-02-19 10:25,3330,2.4,2.8,0,0,34,Terrestrial,Yes,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,One door on the cone was open and 2 of the 3 latches were missing.  Log in trap as well.
2019-02-19,8881,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-02-18 09:27,2019-02-19 10:07,1651,1.1,1.2,0,0,7,Terrestrial,Yes,,
2019-02-20,8882,ST004L1B,End trapping,Trap functioning normally,Processed fish,2019-02-19 10:07,2019-02-20 10:03,1559,0.9,,0,0,6,Terrestrial,Yes,,
2019-02-20,8883,ST004L1B,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,,2019-02-20 11:31,,,1.2,,,,,Yes,,Traps moved forward about 10 feet.
2019-02-21,8884,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-02-20 11:31,2019-02-21 10:12,1661,1.2,1.6,0,1,8,Terrestrial,Yes,,
2019-02-20,8885,ST004L1,End trapping,Trap functioning normally,Processed fish,2019-02-19 10:25,2019-02-20 09:48,3400,2.4,,1,1,16,Terrestrial,Yes,,
2019-02-20,8886,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,,2019-02-20 11:31,,,3.5,,,,,Yes,,
2019-02-21,8887,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-02-20 11:31,2019-02-21 10:38,4478,3.2,3.3,0,1,28,Terrestrial,Yes,,
2019-02-22,8888,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2019-02-21 10:12,2019-02-22 10:21,1385,0,1.7,1,1,14,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,Log on side of trap and branch inside cone.
2019-02-23,8889,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-02-22 10:21,2019-02-23 10:33,2206,1.6,1.7,0,0,9,Terrestrial,Yes,,
2019-02-24,8890,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-02-23 10:33,2019-02-24 10:05,2426,1.7,1.7,0,0,9,Terrestrial,Yes,,
2019-02-25,8891,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-02-24 10:05,2019-02-25 10:18,2532,2,1.9,0,0,8,Terrestrial,Yes,,
2019-02-22,8892,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-02-21 10:38,2019-02-22 11:13,4918,3.5,3.4,1,1,38,Terrestrial,Yes,,
2019-02-23,8893,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-02-22 11:13,2019-02-23 11:20,4625,3.2,3.1,1,0,21,Terrestrial,Yes,,
2019-02-24,8894,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-02-23 11:20,2019-02-24 10:17,4418,3.3,3.3,0,0,25,Terrestrial,Yes,,
2019-02-25,8895,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-02-24 10:17,2019-02-25 10:44,4849,3.4,3.3,0,0,23,Terrestrial,Yes,,
2019-02-26,8896,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-02-25 10:18,2019-02-26 09:54,2548,1.8,1.6,0,0,8,Terrestrial,Yes,,
2019-02-27,8897,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-02-26 09:54,2019-02-27 09:42,2482,1.9,1.7,0,0,7,Terrestrial,Yes,,
2019-02-26,8898,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-02-25 10:44,2019-02-26 10:49,4458,3.4,3.5,0,0,34,Terrestrial,Yes,,
2019-02-27,8899,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019-02-26 10:49,2019-02-27 10:21,3449,0,3.3,1,3,28,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,
2019-02-28,8900,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-02-27 09:42,2019-02-28 09:36,2628,1.9,0.9,0,0,8,Terrestrial,Yes,,Traps adjusted before 'after rev's'
2019-02-28,8901,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-02-27 10:21,2019-02-28 10:21,5243,3.7,3.2,0,0,48,Terrestrial,Yes,,Traps adjusted before 'after rev's'
2019-03-01,8902,ST004L1B,End trapping,Trap functioning normally,Processed fish,2019-02-28 09:36,2019-03-01 10:08,1489,1.4,,0,1,20,Terrestrial,Yes,,
2019-03-04,8903,ST004L1B,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,,2019-03-04 10:07,,,0.4,,,,,Yes,,Trap running inconsistantly due to increased river flow changing typical river dynamics. 
2019-03-01,8904,ST004L1,End trapping,Trap stopped functioning,Processed fish,2019-02-28 10:21,2019-03-01 11:04,2276,0,,2,1,109,Terrrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,
2019-03-04,8905,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,,2019-03-04 10:07,,,2.4,,,,,Yes,,
2019-03-05,8906,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-04 10:07,2019-03-05 10:02,1082,1.2,0.4,0,0,3,Terrestrial,Yes,,
2019-03-05,8907,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2019-03-04 10:07,2019-03-05 10:19,1595,0,2.7,1,0,26,Terrestrial,No,Trap functioning normally for less than 70% of the sample period and imputed catch greater than or equal to actual catch.,Small log on side of trap and long stick inside stopped the trap.
2019-03-06,8908,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-05 10:02,2019-03-06 09:39,993,0.7,0.7,0,0,4,Terrestrial,Yes,,
2019-03-06,8909,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-05 10:19,2019-03-06 10:08,3908,3,2.4,0,0,19,Terrestrial,Yes,,
2019-03-07,8910,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-06 09:39,2019-03-07 09:55,1164,0.9,1.4,1,1,6,Terrestrial,Yes,,Log in intake
2019-03-08,8911,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-07 09:55,2019-03-08 10:13,1065,0.8,1,0,0,2,Terrestrial,Yes,,
2019-03-07,8912,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-06 10:08,2019-03-07 10:58,4047,2.8,3,0,1,32,Terrestrial,Yes,,
2019-03-08,8913,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-07 10:58,2019-03-08 10:38,3594,2.5,2.4,1,1,30,Terrestrial,Yes,,
2019-03-09,8914,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-08 10:38,2019-03-09 09:36,3527,2.9,2.7,1,1,24,Terrestrial,Yes,,
2019-03-09,8915,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-08 10:13,2019-03-09 09:18,998,0.8,1.1,0,1,1,Terrestrial,Yes,,
2019-03-10,8916,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-09 09:18,2019-03-10 09:08,1172,0.7,1.7,0,0,1,Terrestrial,Yes,,
2019-03-11,8917,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-10 09:08,2019-03-11 09:22,1535,0.8,1.3,0,0,1,Terrestrial,Yes,,
2019-03-10,8918,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-09 09:36,2019-03-10 09:26,3750,3,3.1,0,0,12,Terrestrial,Yes,,
2019-03-11,8919,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-10 09:26,2019-03-11 09:42,4345,3.2,3.3,0,0,10,Terrestrial,Yes,,50 Gallon drum in cone
2019-03-12,8920,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-11 09:22,2019-03-12 09:47,1761,1.3,1.2,0,0,4,Terrestrial,Yes,,
2019-03-12,8921,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-11 09:42,2019-03-12 10:40,5004,3.4,3.6,1,1,26,Terrestrial,Yes,,
2019-03-13,8922,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-12 10:40,2019-03-13 10:17,4977,3.9,4.1,0,0,17,Terrestrial,Yes,,
2019-03-13,8923,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-12 09:47,2019-03-13 09:30,1964,1.5,2.5,0,0,1,Terrestrial,Yes,,
2019-03-14,8924,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-13 09:30,2019-03-14 09:46,2417,1.7,1.5,0,0,1,Terrestrial,Yes,,
2019-03-14,8925,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-13 10:17,2019-03-14 10:06,5324,3.4,3.9,0,0,10,Terrestrial,Yes,,
2019-03-15,8926,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-14 09:46,2019-03-15 11:56,2724,1.7,1.8,0,0,1,Terrestrial,Yes,,
2019-03-15,8927,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-14 10:06,2019-03-15 12:14,5942,4,3.7,1,1,8,Terrestrial,Yes,,
2019-03-16,8928,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-15 11:56,2019-03-16 09:59,2398,1.9,1.7,0,0,3,Terrestrial,Yes,,
2019-03-17,8929,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-16 09:59,2019-03-17 09:23,2511,1.8,1.8,0,0,1,Terrestrial,Yes,,
2019-03-18,8930,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-17 09:23,2019-03-18 09:39,2622,1.5,2.3,0,0,3,Terrestrial,Yes,,
2019-03-16,8931,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-15 12:14,2019-03-16 10:34,5066,4,3.6,0,0,8,Terrestrial,Yes,,
2019-03-17,8932,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-16 10:34,2019-03-17 09:36,5169,3.5,3.3,0,0,6,Terrestrial,Yes,,
2019-03-18,8933,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-17 09:36,2019-03-18 09:48,5295,3.3,3.7,0,0,5,Terrestrial,Yes,,
2019-03-19,8934,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-18 09:39,2019-03-19 09:39,2598,1.8,1.6,0,0,4,Terrestrial,Yes,,
2019-03-19,8935,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-18 09:48,2019-03-19 10:07,5217,3.9,3.7,0,0,6,Terrestrial,Yes,,
2019-03-20,8936,ST004L1B,Continue trapping,Trap functioning normally,No fish were caught,2019-03-19 09:39,2019-03-20 09:50,2564,1.9,1.7,0,0,3,Terrestrial,Yes,,
2019-03-20,8937,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-19 10:07,2019-03-20 10:17,5102,3.2,3.1,0,0,5,Terrestrial,Yes,,
2019-03-21,8938,ST004L1B,Continue trapping,Trap functioning normally,No fish were caught,2019-03-20 09:50,2019-03-21 09:36,2373,1.8,1,0,0,2,Terrestrial,Yes,,
2019-03-21,8939,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-20 10:17,2019-03-21 09:49,4832,3.5,3.4,0,0,5,Terrestrial,Yes,,
2019-03-22,8940,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-21 09:36,2019-03-22 10:09,2597,1.8,1.8,0,0,5,Terrestrial,Yes,,
2019-03-22,8941,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-21 09:49,2019-03-22 11:04,4882,3.3,3.2,0,0,19,Terrestrial,Yes,,
2019-03-23,8942,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-22 10:09,2019-03-23 10:01,2587,1.9,2,0,0,9,Terrestrial,Yes,,
2019-03-24,8943,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-23 10:01,2019-03-24 09:12,738,2.1,1.9,0,0,10,Terrestrial,Yes,,
2019-03-25,8944,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-24 09:12,2019-03-25 09:28,3658,1.8,1.7,0,0,5,Terrestrial,Yes,,
2019-03-26,8945,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-25 09:28,2019-03-26 08:43,2230,1.5,1.8,0,0,3,Terrestrial,Yes,,
2019-03-23,8946,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-22 11:04,2019-03-23 11:16,4637,3.1,3.2,0,0,40,Terrestrial,Yes,,
2019-03-24,8947,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-23 11:16,2019-03-24 10:28,3093,3,3.4,3,3,45,Terrestrial,Yes,,
2019-03-25,8948,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-24 10:28,2019-03-25 09:48,4579,3.2,3.3,0,0,20,Terrestrial,Yes,,
2019-03-26,8949,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-25 09:48,2019-03-26 08:53,4644,3.8,3.4,0,0,8,Terrestrial,Yes,,
2019-03-27,8950,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-26 08:43,2019-03-27 09:13,2276,1.9,1.6,0,0,1,Terrestrial,Yes,,
2019-03-27,8951,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-26 08:53,2019-03-27 09:30,4839,3.6,3.2,0,0,4,Terrestrial,Yes,,
2019-03-28,8952,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-27 09:13,2019-03-28 09:39,2183,1.2,1.3,0,0,1,Terrestrial,Yes,,Traps pulled to shore for one hour while traps were worked up.
2019-03-28,8953,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-27 09:30,2019-03-28 09:50,4628,3.3,3.2,2,0,5,Terrestrial,Yes,,Traps pulled over to shore for one hour while traps were worked up. Rope pulley twisted and too difficult to move traps in and out and therefore environmentals were not recorded.
2019-03-29,8954,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-28 09:50,2019-03-29 10:25,4703,3.3,3.3,0,0,8,Terrestrial,Yes,,
2019-03-29,8955,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-28 09:39,2019-03-29 09:57,2105,1.3,1.7,0,0,3,Terrestrial,Yes,,
2019-03-30,8956,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-29 09:57,2019-03-30 09:30,2021,1.9,1.6,0,0,3,Terrestrial,Yes,,
2019-03-30,8957,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-29 10:25,2019-03-30 09:52,4515,3.5,3.3,0,0,12,Terrestrial,Yes,,
2019-03-31,8958,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-30 09:30,2019-03-31 09:16,2075,1.7,2.1,0,0,1,Terrestrial,Yes,,
2019-04-01,8959,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-03-31 09:16,2019-04-01 09:49,2671,1.4,2.1,0,0,4,Terrestrial,Yes,,
2019-03-31,8960,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-30 09:52,2019-03-31 09:22,4480,2.9,3.3,0,0,4,Terrestrial,Yes,,
2019-04-01,8961,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-03-31 09:22,2019-04-01 10:02,5263,3.4,3.6,0,0,13,Terrestrial,Yes,,
2019-04-02,8962,ST004L1B,Continue trapping,Trap functioning normally,No fish were caught,2019-04-01 09:49,2019-04-02 09:01,2416,1.6,1.7,0,0,1,Terrestrial,Yes,,
2019-04-02,8963,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-01 10:02,2019-04-02 09:14,4773,3.5,3.7,0,0,5,Terrestrial,Yes,,
2019-04-03,8964,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-02 09:01,2019-04-03 09:19,2393,1.4,1.4,0,0,1,Terrestrial,Yes,,
2019-04-03,8965,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-02 09:14,2019-04-03 09:27,4943,3.5,3.4,0,1,7,Terrestrial,Yes,,
2019-04-04,8966,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-03 09:19,2019-04-04 09:42,2239,1.1,1.4,0,0,2,Terrestrial,Yes,,
2019-04-04,8967,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-03 09:27,2019-04-04 09:46,4834,3.2,3.9,0,0,5,Terrestrial,Yes,,
2019-04-05,8968,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-04 09:42,2019-04-05 09:37,2400,1.4,1.9,0,0,2,Terrestrial,Yes,,
2019-04-05,8969,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-04 09:46,2019-04-05 09:44,5058,3.7,3.6,0,0,4,Terrestrial,Yes,,
2019-04-06,8970,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-05 09:37,2019-04-06 10:42,2613,2.1,1.8,0,0,4,Terrestrial,Yes,,
2019-04-07,8971,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-06 10:42,2019-04-07 09:04,2366,1.7,1.6,0,0,5,Terrestrial,Yes,,
2019-04-08,8972,ST004L1B,Continue trapping,Trap functioning normally,No fish were caught,2019-04-07 09:04,2019-04-08 09:11,2479,1.9,1.9,0,0,1,Terrestrial,Yes,,
2019-04-06,8973,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-05 09:44,2019-04-06 10:53,5295,3.5,3.5,0,0,5,Terrestrial,Yes,,
2019-04-07,8974,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-06 10:53,2019-04-07 09:08,,3.3,3.3,0,0,4,Terrestrial,Yes,,Clicker reading not recorded
2019-04-08,8975,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-07 09:08,2019-04-08 09:16,,3.5,3.6,0,0,5,Terrestrial,Yes,,Clicker reading not recorded
2019-04-09,8976,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-08 09:11,2019-04-09 09:44,2361,1.4,2.1,0,0,5,Terrestrial,Yes,,
2019-04-10,8977,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-09 09:44,2019-04-10 09:28,2333,1.6,1.6,0,0,5,Terrestrial,Yes,,
2019-04-11,8978,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-10 09:28,2019-04-11 09:48,2351,1.5,2,0,0,3,Terrestrial,Yes,,
2019-04-09,8979,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-08 09:16,2019-04-09 10:27,,3.5,3.7,0,0,20,Terrestrial,Yes,,Total Rev's not recorded.
2019-04-10,8980,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-09 10:27,2019-04-10 10:05,4744,3.5,3.2,0,0,14,Terrestrial,Yes,,
2019-04-11,8981,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-10 10:05,2019-04-11 09:37,4713,3.6,3.2,0,0,13,Terrestrial,Yes,,
2019-04-12,8982,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-11 09:48,2019-04-12 12:31,2529,1.3,1.9,0,0,3,Terrestrial,Yes,,
2019-04-13,8983,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-12 12:31,2019-04-13 09:57,2170,1.6,1.3,0,0,3,Terrestrial,Yes,,
2019-04-14,8984,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-13 09:57,2019-04-14 09:14,2449,2.1,1.7,0,0,1,Terrestrial,Yes,,
2019-04-15,8985,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-14 09:14,2019-04-15 09:28,2535,1.6,1.6,0,0,2,Terrestrial,Yes,,
2019-04-12,8986,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-11 09:37,2019-04-12 12:42,5292,3.1,3.8,0,0,7,Terrestrial,Yes,,
2019-04-13,8987,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-12 12:42,2019-04-13 10:28,4283,3.5,3.4,0,0,4,Terrestrial,Yes,,
2019-04-14,8988,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-13 10:28,2019-04-14 09:20,4487,3.4,3.2,0,0,3,Terrestrial,Yes,,
2019-04-15,8989,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-14 09:20,2019-04-15 09:35,4716,3.3,3.1,0,0,4,Terrestrial,Yes,,
2019-04-16,8990,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-15 09:28,2019-04-16 08:19,2452,1.7,1.7,0,0,2,Terrestrial,Yes,,
2019-04-17,8991,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-16 08:19,2019-04-17 09:57,2679,1.6,2,0,0,1,Terrestrial,Yes,,
2019-04-16,8992,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-15 09:35,2019-04-16 08:31,4447,3.3,3.2,0,0,4,Terrestrial,Yes,,
2019-04-17,8993,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-16 08:31,2019-04-17 10:15,4777,3.4,3.8,0,0,5,Terrestrial,Yes,,
2019-04-18,8994,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-17 09:57,2019-04-18 09:50,2727,2.1,2,0,0,1,Terrestrial,Yes,,
2019-04-18,8995,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-17 10:15,2019-04-18 09:58,4721,3.5,3.6,0,0,4,Terrrestrial,Yes,,
2019-04-19,8996,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-18 09:50,2019-04-19 12:12,3002,1.9,1.7,0,0,2,Terrestrial,Yes,,
2019-04-20,8997,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-19 12:12,2019-04-20 09:20,2246,2,2.2,0,0,1,Terrestrial,Yes,,
2019-04-21,8998,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-20 09:20,2019-04-21 09:28,2789,1.9,1.9,0,0,2,Terrestrial,Yes,,
2019-04-22,8999,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-21 09:28,2019-04-22 09:41,2779,1.8,2.3,0,0,3,Terrestrial,Yes,,
2019-04-19,9000,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-18 09:58,2019-04-19 12:29,5368,3.4,3.6,0,0,4,Terrestrial,Yes,,
2019-04-20,9001,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-19 12:29,2019-04-20 09:27,4135,3.3,3.6,0,0,3,Terrestrial,Yes,,
2019-04-21,9002,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-20 09:27,2019-04-21 09:39,4917,3.5,3.4,0,0,8,Terrestrial,Yes,,
2019-04-22,9003,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-21 09:39,2019-04-22 09:34,4924,3.4,3.7,0,0,5,Terrestrial,Yes,,
2019-04-23,9004,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-22 09:41,2019-04-23 08:34,2714,1.8,2.1,0,0,2,Terrestrial,Yes,,
2019-04-24,9005,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-23 08:34,2019-04-24 09:39,2800,2.1,2,0,0,2,Terrestrial,Yes,,
2019-04-23,9006,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-22 09:34,2019-04-23 08:39,4911,3.8,3.8,0,0,5,Terrestrial,Yes,,
2019-04-24,9007,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-23 08:39,2019-04-24 09:44,4992,3.7,3.7,0,0,4,Terrestrial,Yes,,
2019-04-25,9008,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-24 09:39,2019-04-25 09:38,2852,1.9,2,0,0,2,Terrestrial,Yes,,
2019-04-25,9009,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-24 09:44,2019-04-25 09:49,5117,3.6,3.5,0,0,7,Terrestrial,Yes,,
2019-04-26,9010,ST004L1B,End trapping,Trap functioning normally,No fish were caught,2019-04-25 09:38,2019-04-26 09:38,2912,1.9,,0,0,1,Terrestrial,Yes,,
2019-04-26,9011,ST004L1,End trapping,Trap functioning normally,Processed fish,2019-04-25 09:49,2019-04-26 09:47,5010,3.7,,0,0,5,Terrestrial,Yes,,
2019-04-29,9012,ST004L1B,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,,2019-04-29 13:48,,,2.5,,,,,Yes,,
2019-04-29,9013,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,,2019-04-29 14:09,,,3.6,,,,,Yes,,
2019-04-30,9014,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-29 13:48,2019-04-30 10:32,3019,2.7,2.5,0,0,5,Terrestrial,Yes,,
2019-04-30,9015,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-29 14:09,2019-04-30 11:42,4721,3.5,3.8,0,0,15,Terrestrial,Yes,,
2019-05-01,9016,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-04-30 10:32,2019-05-01 09:56,3421,2.3,2.1,0,0,6,Terrestrial,Yes,,
2019-05-02,9017,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2019-05-01 09:56,2019-05-02 09:07,3426,2.7,2.6,0,0,5,Terrestrial,Yes,,
2019-05-01,9018,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-04-30 11:42,2019-05-01 10:11,4885,3.5,3.6,0,0,20,Terrestrial,Yes,,
2019-05-02,9019,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2019-05-01 10:11,2019-05-02 09:51,5182,3.5,3.6,0,0,37,Terrestrial,Yes,,
2019-05-03,9020,ST004L1,End trapping,Trap functioning normally,Processed fish,2019-05-02 09:51,2019-05-03 10:09,5318,3.8,,0,1,30,Terrestrial,Yes,,
